412	Rieder, Tobias	2.000	0.700	UFA		
413	Rinaldo, Zac	0.650	0.700	UFA		
21	Ritchie, Brett	1.750	1.000	RFA		
346	Ritchie, Nick	1.640	1.499	1.499	RFA	
	Robinson, Buddy	0.700	0.700	UFA		
414	Robinson, Eric	0.925	0.874	RFA		
	Rodewald, Jack	0.708	0.725	RFA		
	Rodin, Anton	0.750	UFA			
415	Rodrigues, Evan	0.650	2.000	RFA		
416	Rooney, Kevin	0.700	0.700	UFA		
417	Roslovic, Jack	1.107	1.107	RFA		
418	Roussel, Antoine	3.000	3.000	3.000	3.000	UFA
419	Rowney, Carter	1.133	1.133	1.133	UFA	
	Roy, Kevin	0.874	0.850	UFA		
	Russell, Patrick	0.700	0.700	UFA		
